timestamp,frame,object,confidence,cx,cy,speed_kmh,zone_alert
09:56:30,377,person,0.79,345,287,0.8,
09:56:30,378,person,0.781,345,288,0.4,
09:56:30,379,person,0.768,345,288,1.2,
09:56:30,380,person,0.783,346,287,0.4,
09:56:30,381,person,0.759,345,285,0.0,
09:56:30,382,person,0.782,346,286,0.5,
09:56:30,383,person,0.773,346,287,0.5,
09:56:30,384,person,0.735,347,287,0.8,
09:56:30,385,person,0.773,344,287,0.7,
09:56:30,386,person,0.754,344,284,0.5,
09:56:30,387,person,0.74,350,287,1.5,
09:56:30,388,person,0.761,346,286,0.4,
09:56:30,389,person,0.773,341,287,2.1,
09:56:30,390,person,0.775,342,285,1.0,
09:56:30,391,person,0.765,344,283,0.4,
09:56:30,392,person,0.757,345,286,1.8,
09:56:30,393,person,0.778,342,285,1.5,
09:56:30,394,person,0.77,345,286,1.5,
09:56:30,395,person,0.762,341,286,0.5,
09:56:30,396,person,0.756,343,284,0.5,
09:56:31,397,person,0.779,344,286,0.4,
09:56:31,398,person,0.791,343,285,0.4,
09:56:31,399,person,0.749,344,285,0.5,
09:56:31,400,person,0.754,344,286,1.1,
09:56:31,401,person,0.78,343,284,0.0,
09:56:31,402,person,0.76,346,283,1.3,
09:56:31,403,person,0.772,345,284,0.8,
09:56:31,404,person,0.776,341,283,1.3,
09:56:31,405,person,0.762,345,285,0.5,
09:56:31,406,person,0.776,346,287,1.5,
09:56:31,407,person,0.761,346,286,1.1,
09:56:31,408,person,0.774,347,287,1.3,
09:56:31,409,person,0.75,341,285,0.7,
09:56:31,410,person,0.748,346,285,0.4,
09:56:31,411,person,0.768,344,283,1.6,
09:56:31,412,person,0.762,343,286,1.1,
09:56:31,413,person,0.751,345,287,0.7,
09:56:31,414,person,0.757,342,284,0.5,
09:56:31,415,person,0.773,345,286,0.5,
09:56:31,416,person,0.746,343,287,1.5,
09:56:32,417,person,0.743,346,286,1.1,
09:56:32,418,person,0.796,343,286,0.8,
09:56:32,419,person,0.787,343,286,0.8,
09:56:32,420,person,0.787,343,286,0.7,
09:56:32,421,person,0.784,341,284,1.3,
09:56:32,422,person,0.759,344,287,0.8,
09:56:32,423,person,0.781,343,285,0.4,
09:56:32,424,person,0.786,342,286,0.3,
09:56:32,425,person,0.78,345,287,0.8,
09:56:32,426,person,0.79,346,286,1.9,
09:56:32,427,person,0.774,346,287,0.7,
09:56:32,428,person,0.777,345,288,1.2,
09:56:32,429,person,0.777,341,287,0.5,
09:56:32,430,person,0.787,342,284,1.5,
09:56:32,431,person,0.775,345,287,0.5,
09:56:32,432,person,0.795,345,288,0.5,
09:56:32,433,person,0.795,345,288,0.0,
09:56:32,434,person,0.767,343,288,0.8,
09:56:32,435,person,0.761,347,287,2.1,
09:56:33,436,person,0.762,344,288,0.5,
09:56:33,437,person,0.781,342,289,1.1,
09:56:33,438,person,0.784,341,288,1.4,
09:56:33,439,person,0.774,337,292,2.6,
09:56:33,440,person,0.786,332,293,5.7,
09:56:33,441,person,0.775,331,294,5.1,
09:56:33,442,person,0.771,330,295,4.8,
09:56:33,443,person,0.763,330,300,5.8,
09:56:33,444,person,0.766,330,302,4.4,
09:56:33,445,person,0.762,328,304,4.2,
09:56:33,446,person,0.757,329,304,3.5,
09:56:33,447,person,0.763,326,305,3.6,
09:56:33,448,person,0.751,333,307,2.6,
09:56:33,449,person,0.697,332,308,2.0,
09:56:33,450,person,0.698,332,305,1.3,
09:56:33,451,person,0.68,334,309,2.4,
09:56:33,452,person,0.686,335,308,3.2,
09:56:33,453,person,0.704,329,307,1.3,
09:56:33,454,person,0.703,332,306,0.7,
09:56:34,455,person,0.69,329,308,1.4,
09:56:34,456,person,0.69,329,308,1.6,
09:56:34,457,person,0.717,333,307,0.7,
09:56:34,458,person,0.696,338,305,3.1,
09:56:34,459,person,0.718,337,310,2.2,
09:56:34,460,person,0.697,335,307,2.2,
09:56:34,461,person,0.698,339,308,3.5,
09:56:34,462,person,0.705,335,308,0.7,
09:56:34,463,person,0.691,336,310,1.8,
09:56:34,464,person,0.714,341,309,1.4,
09:56:34,465,person,0.687,339,311,1.9,
09:56:34,466,person,0.701,339,308,0.0,
09:56:34,467,person,0.709,340,308,1.8,
09:56:34,468,person,0.703,338,310,0.7,
09:56:34,469,person,0.681,339,309,0.7,
09:56:34,470,person,0.681,339,309,0.7,
09:56:34,471,person,0.717,339,310,0.7,
09:56:34,472,person,0.706,335,310,1.9,
09:56:34,473,person,0.702,336,310,0.7,
09:56:34,474,person,0.698,337,308,0.8,
09:56:35,475,person,0.693,337,307,1.0,
09:56:35,476,person,0.7,337,308,1.0,
09:56:35,477,person,0.703,338,309,1.2,
09:56:35,478,person,0.702,336,309,0.4,
09:56:35,479,person,0.722,341,308,1.3,
09:56:35,480,person,0.695,339,308,0.7,
09:56:35,481,person,0.699,335,308,0.7,
09:56:35,482,person,0.722,339,310,0.5,
09:56:35,483,person,0.734,339,309,1.0,
09:56:35,484,person,0.696,340,312,1.5,
09:56:35,485,person,0.715,336,310,1.3,
09:56:35,486,person,0.706,341,309,2.2,
09:56:35,487,person,0.708,339,310,0.0,
09:56:35,488,person,0.703,338,309,0.4,
09:56:35,489,person,0.714,339,311,0.5,
09:56:35,490,person,0.701,340,310,1.4,
09:56:35,491,person,0.694,338,312,1.5,
09:56:35,492,person,0.714,341,310,0.7,
09:56:35,493,person,0.693,339,308,0.5,
09:56:36,494,person,0.694,340,311,0.4,
09:56:36,495,person,0.693,344,311,1.5,
09:56:36,496,person,0.687,342,307,2.3,
09:56:36,497,person,0.68,340,309,0.5,
09:56:36,498,person,0.705,345,309,2.2,
09:56:36,499,person,0.696,342,308,1.2,
09:56:36,500,person,0.701,342,310,0.8,
09:56:36,501,person,0.717,338,311,1.9,
09:56:36,502,person,0.728,338,309,0.6,
09:56:36,503,person,0.697,342,307,1.1,
09:56:36,504,person,0.72,342,307,0.3,
09:56:36,505,person,0.721,338,310,1.3,
09:56:36,506,person,0.717,336,309,0.9,
09:56:36,507,person,0.717,336,309,0.6,
09:56:36,508,person,0.724,342,310,1.0,
09:56:36,509,person,0.703,343,308,0.5,
09:56:36,510,person,0.711,342,309,1.4,
09:56:36,511,person,0.702,340,304,2.2,
09:56:37,512,person,0.712,341,308,1.7,
09:56:37,513,person,0.714,343,309,0.5,
09:56:37,514,person,0.721,344,308,0.3,
09:56:37,515,person,0.727,343,308,0.4,
09:56:37,516,person,0.712,344,307,1.4,
09:56:37,517,person,0.747,339,310,0.8,
09:56:37,518,person,0.72,344,309,0.3,
09:56:37,519,person,0.723,342,309,0.6,
09:56:37,520,person,0.734,345,306,0.8,
09:56:37,521,person,0.723,350,305,1.8,
09:56:37,522,person,0.733,347,308,2.4,
09:56:37,523,person,0.744,346,308,0.7,
09:56:37,524,person,0.73,348,307,1.9,
09:56:37,525,person,0.738,348,307,1.0,
09:56:37,526,person,0.745,349,307,0.7,
09:56:37,527,person,0.725,349,306,0.9,
09:56:37,528,person,0.725,353,306,2.3,YES
09:56:38,529,person,0.721,352,306,1.4,YES
09:56:38,530,person,0.71,354,305,2.1,YES
09:56:38,531,person,0.717,356,304,2.6,YES
09:56:38,532,person,0.706,360,302,4.0,YES
09:56:38,533,person,0.718,356,303,1.5,YES
09:56:38,534,person,0.713,357,304,1.9,YES
09:56:38,535,person,0.704,359,303,1.9,YES
09:56:38,536,person,0.713,361,302,1.9,YES
09:56:38,537,person,0.695,360,302,0.0,YES
09:56:38,538,person,0.728,360,302,1.3,YES
09:56:38,539,person,0.745,353,305,1.3,YES
09:56:38,540,person,0.745,353,305,1.9,YES
09:56:38,541,person,0.702,357,303,1.2,YES
09:56:38,542,person,0.693,353,303,2.2,YES
09:56:38,543,person,0.725,354,302,2.0,YES
09:56:38,544,person,0.721,358,305,1.8,YES
09:56:38,545,person,0.693,364,311,4.5,YES
09:56:38,546,person,0.705,353,303,1.4,YES
09:56:38,547,person,0.69,371,307,6.2,YES
09:56:39,548,person,0.713,358,310,3.0,YES
09:56:39,549,person,0.694,356,304,0.8,YES
09:56:39,550,person,0.686,358,303,3.2,YES
09:56:39,551,person,0.683,360,303,2.3,YES
09:56:39,552,person,0.705,357,303,4.4,YES
09:56:39,553,person,0.689,360,311,0.7,YES
09:56:39,554,person,0.693,357,303,0.4,YES
09:56:39,555,person,0.68,358,304,0.3,YES
09:56:39,556,person,0.7,356,304,1.3,YES
09:56:39,557,person,0.687,359,310,2.5,YES
09:56:39,558,person,0.688,357,305,2.2,YES
09:56:39,559,person,0.708,353,305,1.3,YES
09:56:39,560,person,0.715,356,303,0.6,YES
09:56:39,561,person,0.706,359,302,1.0,YES
09:56:39,562,person,0.692,358,302,2.3,YES
09:56:39,563,person,0.701,359,304,0.7,YES
09:56:39,564,person,0.722,355,305,0.6,YES
09:56:40,565,person,0.705,357,304,0.4,YES
09:56:40,566,person,0.69,362,310,2.5,YES
09:56:40,567,person,0.712,358,311,2.7,YES
09:56:40,568,person,0.706,358,311,2.0,YES
09:56:40,569,person,0.689,361,305,1.7,YES
09:56:40,570,person,0.701,356,302,0.6,YES
